"t","valor esperado de Haar de la pureza de Choi"
0,0.9999999999999998
1,0.5796448197635529
2,0.3476105547610164
3,0.29315494386019936
4,0.27581785364022454
5,0.27165769155799696
6,0.2824612510220979
7,0.27666177768512545
8,0.2688682751063163
9,0.2735300220072595
10,0.30673898573812464
11,0.3681164997056323
12,0.37300956989118
13,0.3484621509733798
14,0.32745397665374454
15,0.31071444925864444
16,0.2969906182322865
17,0.2915483290623429
18,0.28502544139551755
19,0.2859670512352285
20,0.2881100336279347
21,0.31731801135592713
22,0.3123593940249908
23,0.3193937847138705
24,0.31445656814430334
25,0.28557783790364566
26,0.27891676131812065
27,0.2869723919949039
28,0.2898272075410366
29,0.2873436436934562
30,0.27844237166624847
31,0.28469987860122004
32,0.28212035251997314
33,0.28631254269824424
34,0.3015438462992317
35,0.2897874459781292
36,0.27150594645513454
37,0.27834608132841965
38,0.2904824813535755
39,0.2865559983276683
40,0.27773274591055197
41,0.26852674140100585
42,0.27098813524041865
43,0.2854127204821264
44,0.2769505635635447
45,0.2674228332521273
46,0.2779023837688035
47,0.29018275719257525
48,0.2839386158025896
49,0.2688037397361734
50,0.26336424167045774
